n,Yaw,Pitch,Roll,Lift,Drag,Side
127,71.91785999999999,5.2356,-0.09438,-9.95225,13.737839999999998,-3.612
128,71.91785999999999,5.2356,-0.04719,-9.95225,13.737839999999998,-3.612
129,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
130,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
131,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
132,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
133,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
134,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
135,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
136,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
137,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
138,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
139,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
140,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
141,71.91785999999999,5.2356,-0.09438,-9.55416,13.17856,-3.612
142,71.91785999999999,5.2356,-0.09438,-9.55416,13.195999999999998,-3.612
143,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
144,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
145,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
146,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
147,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
148,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
149,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
150,71.91785999999999,5.2356,-0.09438,-9.55416,13.17856,-3.612
151,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
152,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
153,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
154,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
155,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
156,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
157,71.91785999999999,5.2356,-0.09438,-9.55416,13.195999999999998,-3.612
158,71.91785999999999,5.2356,-0.04719,-9.55416,13.17856,-3.612
159,71.91785999999999,5.2356,-0.04719,-9.55416,13.195999999999998,-3.612
